Run,Condition,BlockNum,NumTrials,FileName,TrialNum
2,NV,32,3,067.jpg,93
2,NV,32,3,119.jpg,94
3,PL,1,5,081.jpg,1
3,PL,1,5,211.jpg,2
3,PL,1,5,163.jpg,3
3,PL,1,5,016.jpg,4
3,PL,1,5,118.jpg,5
3,NV,2,2,109.jpg,6
3,NV,2,2,003.jpg,7
3,PL,3,2,163.jpg,8
3,PL,3,2,016.jpg,9
3,NV,4,1,198.jpg,10
3,PL,5,2,081.jpg,11
3,PL,5,2,118.jpg,12
3,NV,6,2,120.jpg,13
3,NV,6,2,117.jpg,14
3,PL,7,4,211.jpg,15
3,PL,7,4,081.jpg,16
3,PL,7,4,118.jpg,17
3,PL,7,4,163.jpg,18
3,NV,8,4,210.jpg,19
3,NV,8,4,150.jpg,20
3,NV,8,4,259.jpg,21
3,NV,8,4,013.jpg,22
3,PL,9,4,081.jpg,23
3,PL,9,4,016.jpg,24
3,PL,9,4,163.jpg,25
3,PL,9,4,118.jpg,26
3,NV,10,4,248.jpg,27
3,NV,10,4,190.jpg,28
3,NV,10,4,166.jpg,29
3,NV,10,4,160.jpg,30
3,PL,11,5,163.jpg,31
3,PL,11,5,016.jpg,32
3,PL,11,5,118.jpg,33
3,PL,11,5,211.jpg,34
3,PL,11,5,081.jpg,35
3,NV,12,2,070.jpg,36
3,NV,12,2,168.jpg,37
3,PL,13,1,081.jpg,38
3,NV,14,5,115.jpg,39
3,NV,14,5,080.jpg,40
3,NV,14,5,188.jpg,41
3,NV,14,5,238.jpg,42
3,NV,14,5,229.jpg,43
3,PL,15,3,211.jpg,44
3,PL,15,3,016.jpg,45
3,PL,15,3,081.jpg,46
3,NV,16,3,254.jpg,47
3,NV,16,3,158.jpg,48
3,NV,16,3,093.jpg,49
3,PL,17,4,163.jpg,50
3,PL,17,4,016.jpg,51
3,PL,17,4,211.jpg,52
3,PL,17,4,081.jpg,53
3,NV,18,1,121.jpg,54
3,PL,19,3,081.jpg,55
3,PL,19,3,016.jpg,56
3,PL,19,3,211.jpg,57
3,NV,20,3,028.jpg,58
3,NV,20,3,092.jpg,59
3,NV,20,3,131.jpg,60
3,PL,21,1,016.jpg,61
3,NV,22,4,126.jpg,62
3,NV,22,4,011.jpg,63
3,NV,22,4,223.jpg,64
3,NV,22,4,064.jpg,65
3,PL,23,5,163.jpg,66
3,PL,23,5,211.jpg,67
3,PL,23,5,081.jpg,68
3,PL,23,5,118.jpg,69
3,PL,23,5,016.jpg,70
3,NV,24,5,180.jpg,71
3,NV,24,5,066.jpg,72
3,NV,24,5,215.jpg,73
3,NV,24,5,060.jpg,74
3,NV,24,5,233.jpg,75
3,PL,25,1,081.jpg,76
3,NV,26,1,147.jpg,77
3,PL,27,2,118.jpg,78
3,PL,27,2,081.jpg,79
3,NV,28,3,105.jpg,80
3,NV,28,3,091.jpg,81
3,NV,28,3,218.jpg,82
3,PL,29,2,211.jpg,83
3,PL,29,2,118.jpg,84
3,NV,30,5,069.jpg,85
3,NV,30,5,201.jpg,86
3,NV,30,5,020.jpg,87
3,NV,30,5,152.jpg,88
3,NV,30,5,107.jpg,89
3,PL,31,3,211.jpg,90
3,PL,31,3,118.jpg,91
3,PL,31,3,016.jpg,92
3,NV,32,2,212.jpg,93
3,NV,32,2,074.jpg,94
4,NV,1,5,004.jpg,1
4,NV,1,5,058.jpg,2
4,NV,1,5,030.jpg,3
4,NV,1,5,159.jpg,4
4,NV,1,5,199.jpg,5
4,PL,2,2,081.jpg,6
4,PL,2,2,016.jpg,7
4,NV,3,2,010.jpg,8
4,NV,3,2,015.jpg,9
4,PL,4,5,016.jpg,10
4,PL,4,5,081.jpg,11
4,PL,4,5,163.jpg,12
4,PL,4,5,118.jpg,13
4,PL,4,5,211.jpg,14
4,NV,5,2,061.jpg,15
4,NV,5,2,089.jpg,16
4,PL,6,1,163.jpg,17
4,NV,7,2,112.jpg,18
4,NV,7,2,236.jpg,19
4,PL,8,3,163.jpg,20
4,PL,8,3,081.jpg,21
4,PL,8,3,211.jpg,22
4,NV,9,4,114.jpg,23
4,NV,9,4,133.jpg,24
4,NV,9,4,243.jpg,25
4,NV,9,4,251.jpg,26
4,PL,10,2,163.jpg,27
4,PL,10,2,016.jpg,28
4,NV,11,1,161.jpg,29
4,PL,12,5,163.jpg,30
4,PL,12,5,118.jpg,31
4,PL,12,5,081.jpg,32
4,PL,12,5,016.jpg,33
4,PL,12,5,211.jpg,34
4,NV,13,5,009.jpg,35
4,NV,13,5,138.jpg,36
4,NV,13,5,018.jpg,37
4,NV,13,5,176.jpg,38
4,NV,13,5,044.jpg,39
4,PL,14,3,163.jpg,40
4,PL,14,3,118.jpg,41
4,PL,14,3,016.jpg,42
4,NV,15,2,183.jpg,43
4,NV,15,2,075.jpg,44
4,PL,16,2,016.jpg,45
4,PL,16,2,118.jpg,46
4,NV,17,3,228.jpg,47
4,NV,17,3,113.jpg,48
4,NV,17,3,046.jpg,49
4,PL,18,4,081.jpg,50
4,PL,18,4,118.jpg,51
4,PL,18,4,211.jpg,52
4,PL,18,4,163.jpg,53
4,NV,19,4,202.jpg,54
4,NV,19,4,053.jpg,55
4,NV,19,4,101.jpg,56
4,NV,19,4,038.jpg,57
4,PL,20,3,118.jpg,58
4,PL,20,3,163.jpg,59
4,PL,20,3,016.jpg,60
4,NV,21,1,195.jpg,61
4,PL,22,2,163.jpg,62
4,PL,22,2,081.jpg,63
4,NV,23,3,008.jpg,64
4,NV,23,3,084.jpg,65
4,NV,23,3,029.jpg,66
4,PL,24,1,118.jpg,67
4,NV,25,1,033.jpg,68
4,PL,26,5,163.jpg,69
4,PL,26,5,118.jpg,70
4,PL,26,5,211.jpg,71
4,PL,26,5,016.jpg,72
4,PL,26,5,081.jpg,73
4,NV,27,4,051.jpg,74
4,NV,27,4,124.jpg,75
4,NV,27,4,141.jpg,76
4,NV,27,4,153.jpg,77
4,PL,28,4,163.jpg,78
4,PL,28,4,081.jpg,79
4,PL,28,4,118.jpg,80
4,PL,28,4,211.jpg,81
4,NV,29,5,214.jpg,82
4,NV,29,5,025.jpg,83
4,NV,29,5,256.jpg,84
4,NV,29,5,167.jpg,85
4,NV,29,5,187.jpg,86
4,PL,30,4,211.jpg,87
4,PL,30,4,016.jpg,88
4,PL,30,4,081.jpg,89
4,PL,30,4,118.jpg,90
4,NV,31,3,059.jpg,91
4,NV,31,3,062.jpg,92
4,NV,31,3,043.jpg,93
4,PL,32,1,211.jpg,94
